prompt,completion
Question: how do we move the content from the existing page to the new page?  How do we reference the space to the new page?,neutral
Why would you doubt that. And for that matter why wouldn't you rewrite it yourself?,impolite
Thank you for closing out this debate.  Can you please restore the history for GFDL purposes?,neutral
"You may want to take a look at <url>.  Can you be specific on what ""spamming"" is in this context?",neutral
"The consequences apparently have no sliding scale? It's either ""you're blocked,"" or you're not?",impolite
"Good! By the way, what do you think of merging the recurring animals in <url> to <url> and then getting rid of the rest?",polite
You didn't answer about the status of above mentioned image. Are you going to tag that image too?,polite
"Please take a look at Space Shuttle Discovery, for FPC. Will you reconsider?",polite
"Hi, Schutz; it's still busted.  Would it be OK with you if I asked GimmeBot to take over the mainpage bolding?",polite
The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?,neutral
Please answer Bishonen question to you. When were you invited to comment on UC related subjects?,neutral
"Do you disagree with this reasoning?. If so, could you explain why?",polite
Thanks for approving my request. Should I remove my request?,polite
"You reverted my removal of the ""to critical acclaim"" description from this article. I cannot see where in <url> there is a basis for that claim -  it looks like a neutral factual review to me?",impolite
"The link you provided to speedy delection criteria only goes up to CSD12, and there is no CSD 13 listed there.  Could you clarify?",neutral
"I'm not sure how I feel about you adding coordinates to locations all over the place, but rather than get into that, let's start with something easy: ""<url>"" does not equal ""<url>"". Do you need me to explain why, or was that just a typo?",neutral
"Lists like this are a bad idea to begin with, and this one in particular has been deleted via an AfD. Why not try categories instead?",impolite
"See <url>. I've made them, can you help fill them out and place them in the articles?",impolite
"Sorry, I dont quite remember what we were talking about.  Can you tell me what you were/are confused about?",polite
"I'd rather not discuss matters by email, if it's avoidable. Is this a confidential issue that cannot be discussed on talk pages?",impolite
"And individually changing the refs defeats the  purpose, unless the genus is apart of the url, like in nomen.at. Do you think there is any to work with this?",neutral
These events are fictional. What real-world information can there be about them?,impolite
Hey three paragraphs at the end of the commercial success are uncited. Can you fix that?,neutral
A talk page is like your office desk. How does the typical office desk of a professor look like?,neutral
"You told me that you couldn't access the page in question, although I had recently changed the link to its new location. Maybe you just didn't bother to check it out?",neutral
"Hi friend, I've noticed you've made some good edits over at the article. Are you a big fan of McGinley's work?",polite
I need to have Jerry Eckwood added to the list of Arkansas Razorback players.  How do I do this?,neutral
"I suppose that there is nothing to be done about it, but Jamesd1 just buried a direct question to him, about compromise, under a long discussion about Alice Bailey's supposed religious views  (Bailey was not a Christian) that belong on a Bailey discussion forum, not on this article's talk page. Does not Wikipedia have some way to resolve editing situations in which editors refuse to compromise and end the arguing?",neutral
"Thanks for the help on the sides of leather question.  I'm interested in citing the dictionary in the article as a reference for the meaning of ""sides"", but I'd like to have a little more data first u2014 what year's edition of the OED did you cite?",polite
"See <url> - not a good revert, and no reason given. Rollback?",impolite
"Thank you much! May I call upon you if I make mistakes or need help, then, please?",polite
If a main or major purpose of your presence here is to cause drama then I would support your being indefed. Am I misunderstanding something?,impolite
"I guess I sent you something about the <url> project and Welsh data. But you were also somehow silent on lists like gnome-i18n, weren't you?",neutral
I'll take a look. Can you give me an example?,neutral
"That is, I would remove the inline reference to the date of the cited source, since it's given in the actual footnote.  Is that OK with you?",polite
GorillaWarfare- I don't know if you saw my reply on my talk page. Are you interested in being my mentor for the GU De-Ba'athification article?,polite
"For 2003-04 the Tony Kempster site doesn't show steps, it shows levels (this was before the steps were introduced) - <url> when steps were introduced, the KCL was classed as Step 7 - like the Essex Intermediate League (all of whose club's articles have been deleted) it has never been a Step 6 league (hence no-one objecting to the other ten articles being deleted earlier in the week. Can you reinstate the prod so save the hassle of an AfD?",neutral
ARSBot seems to not be working? Can it be turned back on?,neutral
"Ok, thanks. So ok to archive the RFI then?",neutral
"And, no, I don't think that everyone who wrote a screenplay should have two pages, but I do think that every artist who has a substantial list of works which would clutter up their biography page should have two pages. Can you explain to me why the two-page thing is such a big deal when wikipedia is not paper?",impolite
"Who is going to contact all of the users?  Is a bot being set to do that in the event it's necessary, or is it being done manually?",impolite
Why do you have this user name??,impolite
I'm in Japan timezone - and at work now - and most IRC is totally blocked through work proxies.  Can we do a weekend?,polite
"I think some of those ""citation needed"" cases are on the Oldest Britain's website. Are those considered ""validated""?",neutral
"Thanks for doing the DYK update - I saw it was overdue, but had no time to do the notifications (though I would have had time just to copy to the main template and purge the cache). Has there ever been discussion of having a bot do the notices (perhaps with the name of the admin who did the Update given, in case there were questions)?",impolite
"Fine, but you didn't need to be an admin to make edits to articles.  Or did you?",neutral
Nice tune Modernist <url>. You owe me one back?,neutral
