Channel,Tactic_ID,Asset_frequency,Granularity,Segment_Name,Segment_Value
HQ Email,1,6,Monthly,Segment_1,H
EDH Alert,2,6,Monthly,Segment_1,H
Veeva Email,3,6,Monthly,Segment_1,H
SF,4,6,Monthly,Segment_1,H
Medscape Alert,5,6,Monthly,Segment_1,H
Medscape Email,6,24,quarterly,Segment_1,H
HQ Email,7,6,Monthly,Segment_1,M
EDH Alert,8,6,Monthly,Segment_1,M
Veeva Email,9,6,Monthly,Segment_1,M
SF,10,6,Monthly,Segment_1,M
Medscape Alert,11,6,Monthly,Segment_1,M
Medscape Email,12,24,quarterly,Segment_1,M
HQ Email,13,6,Monthly,Segment_1,L
EDH Alert,14,6,Monthly,Segment_1,L
Veeva Email,15,6,Monthly,Segment_1,L
SF,16,6,Monthly,Segment_1,L
Medscape Alert,17,12,Monthly,Segment_1,L
Medscape Email,18,12,quarterly,Segment_1,L
HQ Email,1,6,Monthly,Segment_1,H
EDH Alert,2,6,Monthly,Segment_1,H
Veeva Email,3,6,Monthly,Segment_1,H
SF,4,6,Monthly,Segment_1,H
Medscape Alert,5,6,Monthly,Segment_1,H
Medscape Email,6,24,quarterly,Segment_1,H
HQ Email,7,6,Monthly,Segment_1,M
EDH Alert,8,6,Monthly,Segment_1,M
Veeva Email,9,6,Monthly,Segment_1,M
SF,10,6,Monthly,Segment_1,M
Medscape Alert,11,6,Monthly,Segment_1,M
Medscape Email,12,24,quarterly,Segment_1,M
HQ Email,13,6,Monthly,Segment_1,L
EDH Alert,14,6,Monthly,Segment_1,L
Veeva Email,15,6,Monthly,Segment_1,L
SF,16,6,Monthly,Segment_1,L
Medscape Alert,17,12,Monthly,Segment_1,L
Medscape Email,18,12,quarterly,Segment_1,L
SF,4,6,Monthly,Segment_1,H
Medscape Alert,5,6,Monthly,Segment_1,H
Medscape Email,6,24,quarterly,Segment_1,H
HQ Email,7,6,Monthly,Segment_1,M
EDH Alert,8,6,Monthly,Segment_1,M
Veeva Email,9,6,Monthly,Segment_1,M
SF,10,6,Monthly,Segment_1,M
Medscape Alert,11,6,Monthly,Segment_1,M
Medscape Email,12,24,quarterly,Segment_1,M
HQ Email,13,6,Monthly,Segment_1,L
EDH Alert,14,6,Monthly,Segment_1,L
Veeva Email,15,6,Monthly,Segment_1,L
SF,16,6,Monthly,Segment_1,L
Medscape Alert,17,12,Monthly,Segment_1,L
Medscape Email,18,12,quarterly,Segment_1,L
