HCP_ID,Channel,Priority
1,HQ Email,1
1,SF,2
1,Veeva Email,3
1,Medscape Email,4
1,EDH Alert,5
1,Medscape Alert,6
2,HQ Email,1
2,SF,2
2,Veeva Email,3
2,Medscape Email,4
2,EDH Alert,5
2,Medscape Alert,6
3,HQ Email,1
3,SF,2
3,Veeva Email,3
3,Medscape Email,4
3,EDH Alert,5
3,Medscape Alert,6
4,HQ Email,1
4,SF,2
4,Veeva Email,3
4,Medscape Email,4
4,EDH Alert,5
4,Medscape Alert,6
5,HQ Email,1
5,SF,2
5,Veeva Email,3
5,Medscape Email,4
5,EDH Alert,5
5,Medscape Alert,6
6,HQ Email,1
6,SF,2
6,Veeva Email,3
6,Medscape Email,4
6,EDH Alert,5
6,Medscape Alert,6
7,HQ Email,1
7,SF,2
7,Veeva Email,3
7,Medscape Email,4
7,EDH Alert,5
7,Medscape Alert,6
8,HQ Email,1
8,SF,2
8,Veeva Email,3
8,Medscape Email,4
8,EDH Alert,5
8,Medscape Alert,6
9,HQ Email,1
9,SF,2
9,Veeva Email,3
9,Medscape Email,4
9,EDH Alert,5
9,Medscape Alert,6
10,HQ Email,1
10,SF,2
10,Veeva Email,3
10,Medscape Email,4
10,EDH Alert,5
10,Medscape Alert,6
11,HQ Email,1
11,SF,2
11,Veeva Email,3
11,Medscape Email,4
11,EDH Alert,5
11,Medscape Alert,6
12,HQ Email,1
12,SF,2
12,Veeva Email,3
12,Medscape Email,4
12,EDH Alert,5
12,Medscape Alert,6
13,HQ Email,1
13,SF,2
13,Veeva Email,3
13,Medscape Email,4
13,EDH Alert,5
13,Medscape Alert,6
14,HQ Email,1
14,SF,2
14,Veeva Email,3
14,Medscape Email,4
14,EDH Alert,5
14,Medscape Alert,6
15,HQ Email,1
15,SF,2
15,Veeva Email,3
15,Medscape Email,4
15,EDH Alert,5
15,Medscape Alert,6
16,HQ Email,1
16,SF,2
16,Veeva Email,3
16,Medscape Email,4
16,EDH Alert,5
16,Medscape Alert,6
17,HQ Email,1
17,SF,2
17,Veeva Email,3
17,Medscape Email,4
17,EDH Alert,5
17,Medscape Alert,6
18,HQ Email,1
18,SF,2
18,Veeva Email,3
18,Medscape Email,4
18,EDH Alert,5
18,Medscape Alert,6
19,HQ Email,1
19,SF,2
19,Veeva Email,3
19,Medscape Email,4
19,EDH Alert,5
19,Medscape Alert,6
20,HQ Email,1
20,SF,2
20,Veeva Email,3
20,Medscape Email,4
20,EDH Alert,5
20,Medscape Alert,6
21,HQ Email,1
21,SF,2
21,Veeva Email,3
21,Medscape Email,4
21,EDH Alert,5
21,Medscape Alert,6
22,HQ Email,1
22,SF,2
22,Veeva Email,3
22,Medscape Email,4
22,EDH Alert,5
22,Medscape Alert,6
23,HQ Email,1
23,SF,2
23,Veeva Email,3
23,Medscape Email,4
23,EDH Alert,5
23,Medscape Alert,6
24,HQ Email,1
24,SF,2
24,Veeva Email,3
24,Medscape Email,4
24,EDH Alert,5
24,Medscape Alert,6
25,HQ Email,1
25,SF,2
25,Veeva Email,3
25,Medscape Email,4
25,EDH Alert,5
25,Medscape Alert,6
26,HQ Email,1
26,SF,2
26,Veeva Email,3
26,Medscape Email,4
26,EDH Alert,5
26,Medscape Alert,6
27,HQ Email,1
27,SF,2
27,Veeva Email,3
27,Medscape Email,4
27,EDH Alert,5
27,Medscape Alert,6
28,HQ Email,1
28,SF,2
28,Veeva Email,3
28,Medscape Email,4
28,EDH Alert,5
28,Medscape Alert,6
29,HQ Email,1
29,SF,2
29,Veeva Email,3
29,Medscape Email,4
29,EDH Alert,5
29,Medscape Alert,6
30,HQ Email,1
30,SF,2
30,Veeva Email,3
30,Medscape Email,4
30,EDH Alert,5
30,Medscape Alert,6
31,HQ Email,1
31,SF,2
31,Veeva Email,3
31,Medscape Email,4
31,EDH Alert,5
31,Medscape Alert,6
32,HQ Email,1
32,SF,2
32,Veeva Email,3
32,Medscape Email,4
32,EDH Alert,5
32,Medscape Alert,6
33,HQ Email,1
33,SF,2
33,Veeva Email,3
33,Medscape Email,4
33,EDH Alert,5
33,Medscape Alert,6
34,HQ Email,1
34,SF,2
34,Veeva Email,3
34,Medscape Email,4
34,EDH Alert,5
34,Medscape Alert,6
35,HQ Email,1
35,SF,2
35,Veeva Email,3
35,Medscape Email,4
35,EDH Alert,5
35,Medscape Alert,6
36,HQ Email,1
36,SF,2
36,Veeva Email,3
36,Medscape Email,4
36,EDH Alert,5
36,Medscape Alert,6
37,HQ Email,1
37,SF,2
37,Veeva Email,3
37,Medscape Email,4
37,EDH Alert,5
37,Medscape Alert,6
38,HQ Email,1
38,SF,2
38,Veeva Email,3
38,Medscape Email,4
38,EDH Alert,5
38,Medscape Alert,6
39,HQ Email,1
39,SF,2
39,Veeva Email,3
